Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Inventory,Inventory MoM,Supply,Mortgage Interested Rate 30,Job Opening in Construction,CPI
"St. Louis, MO",2022-07-01 00:00:00,235000,-0.021,929,0.04,1.7,5.4125,353,8.46172172057939
"St. Louis, MO",2022-08-01 00:00:00,213000,-0.096,937,0.009,1.7,5.2225,345,8.214989378576
"St. Louis, MO",2022-09-01 00:00:00,194000,-0.085,962,0.027,1.9,6.112,466,8.18910841290281
"St. Louis, MO",2022-10-01 00:00:00,205000,0.054,950,-0.012,2.1,6.9,398,7.74669157814687
"St. Louis, MO",2022-11-01 00:00:00,205000,0.0,942,-0.008,2.2,6.805,348,7.12834438533917
"St. Louis, MO",2022-12-01 00:00:00,188000,-0.083,796,-0.155,2.0,6.364,488,6.51667354017639
"St. Louis, MO",2023-01-01 00:00:00,195000,0.037,729,-0.084,2.6,6.2725,283,6.33166705649165
"St. Louis, MO",2023-02-01 00:00:00,196000,0.005,707,-0.03,2.3,6.2575,404,5.90444999990735
"St. Louis, MO",2023-03-01 00:00:00,205000,0.046,787,0.113,1.9,6.544,315,4.85345472001022
"St. Louis, MO",2023-04-01 00:00:00,226000,0.102,746,-0.052,1.8,6.3425,347,4.87205972318956
"St. Louis, MO",2023-05-01 00:00:00,230000,0.018,769,0.031,1.5,6.425,379,3.99367758171464
"St. Louis, MO",2023-06-01 00:00:00,250000,0.087,873,0.135,1.6,6.714,386,2.9715878318128
"St. Louis, MO",2023-07-01 00:00:00,235000,-0.06,900,0.031,1.8,6.84,353,3.16070891227286
"St. Louis, MO",2023-08-01 00:00:00,225000,-0.043,932,0.036,1.8,7.072,350,3.69658307187291
