Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Inventory,Inventory MoM,Supply,Mortgage Interested Rate 30
"Atlanta, GA",2023-04-01 00:00:00,399000,0.019,2788,-0.012,3.8,6.3425
"Atlanta, GA",2023-05-01 00:00:00,450000,0.129,2751,-0.013000000000000001,3.3,6.425
"Atlanta, GA",2023-06-01 00:00:00,438000,-0.027000000000000003,2734,-0.006,3.3,6.714
"Atlanta, GA",2023-07-01 00:00:00,385000,-0.121,2673,-0.022000000000000002,3.6,6.84
"Atlanta, GA",2023-08-01 00:00:00,417000,0.08199999999999999,2513,-0.06,3.4,7.072
"Marietta, GA",2018-01-01 00:00:00,265000,0.0,413,-0.053,3.6,4.0325
"Marietta, GA",2018-02-01 00:00:00,256000,-0.035,379,-0.08199999999999999,2.8,4.33
"Marietta, GA",2018-03-01 00:00:00,290000,0.134,435,0.14800000000000002,2.2,4.444
"Marietta, GA",2018-04-01 00:00:00,292000,0.005,482,0.10800000000000001,2.5,4.4675
"Marietta, GA",2018-05-01 00:00:00,297000,0.017,545,0.131,2.5,4.586
"Marietta, GA",2018-06-01 00:00:00,325000,0.096,520,-0.046,2.3,4.57
"Marietta, GA",2018-07-01 00:00:00,303000,-0.068,545,0.048,2.3,4.5275
"Marietta, GA",2018-08-01 00:00:00,270000,-0.109,553,0.015,2.8,4.55
"Marietta, GA",2018-09-01 00:00:00,280000,0.038,532,-0.038,3.7,4.6275
"Marietta, GA",2018-10-01 00:00:00,272000,-0.028999999999999998,535,0.006,3.1,4.83
"Marietta, GA",2018-11-01 00:00:00,271000,-0.004,519,-0.03,3.2,4.866
"Marietta, GA",2018-12-01 00:00:00,278000,0.026000000000000002,452,-0.129,3.6,4.6375
"Marietta, GA",2019-01-01 00:00:00,280000,0.006999999999999999,445,-0.015,3.9,4.464
"Marietta, GA",2019-02-01 00:00:00,272000,-0.027999999999999997,449,0.009000000000000001,3.1,4.37
"Marietta, GA",2019-03-01 00:00:00,295000,0.085,472,0.051,3.0,4.265
"Marietta, GA",2019-04-01 00:00:00,304000,0.031,506,0.07200000000000001,2.7,4.1425
"Marietta, GA",2019-05-01 00:00:00,305000,0.003,549,0.085,2.3,4.072
"Marietta, GA",2019-06-01 00:00:00,299000,-0.02,529,-0.036000000000000004,2.3,3.8025
"Marietta, GA",2019-07-01 00:00:00,323000,0.08,504,-0.047,2.3,3.765
"Marietta, GA",2019-08-01 00:00:00,305000,-0.055999999999999994,517,0.026000000000000002,2.4,3.616
"Marietta, GA",2019-09-01 00:00:00,295000,-0.034,474,-0.083,2.9,3.605
"Marietta, GA",2019-10-01 00:00:00,306000,0.039,459,-0.032,3.0,3.688
"Marietta, GA",2019-11-01 00:00:00,308000,0.005,445,-0.031,3.1,3.695
"Marietta, GA",2019-12-01 00:00:00,301000,-0.02,386,-0.133,3.1,3.72
"Marietta, GA",2020-01-01 00:00:00,290000,-0.038,381,-0.013000000000000001,3.9,3.624
"Marietta, GA",2020-02-01 00:00:00,279000,-0.04,411,0.079,3.1,3.465
"Marietta, GA",2020-03-01 00:00:00,310000,0.11199999999999999,437,0.063,2.3,3.45
"Marietta, GA",2020-04-01 00:00:00,316000,0.019,433,-0.009000000000000001,3.2,3.306
"Marietta, GA",2020-05-01 00:00:00,305000,-0.033,443,0.023,3.3,3.2325
"Marietta, GA",2020-06-01 00:00:00,328000,0.07400000000000001,456,0.028999999999999998,2.5,3.1625
"Marietta, GA",2020-07-01 00:00:00,327000,-0.002,424,-0.07,1.8,3.016
"Marietta, GA",2020-08-01 00:00:00,324000,-0.009000000000000001,376,-0.113,1.7,2.935
"Marietta, GA",2020-09-01 00:00:00,335000,0.034,345,-0.08199999999999999,1.6,2.89
"Marietta, GA",2020-10-01 00:00:00,338000,0.009000000000000001,332,-0.038,1.8,2.834
"Marietta, GA",2020-11-01 00:00:00,340000,0.005,262,-0.21100000000000002,1.4,2.765
"Marietta, GA",2020-12-01 00:00:00,330000,-0.027999999999999997,207,-0.21,1.1,2.684
"Marietta, GA",2021-01-01 00:00:00,320000,-0.03,191,-0.077,1.4,2.735
"Marietta, GA",2021-02-01 00:00:00,335000,0.047,180,-0.057999999999999996,1.3,2.81
"Marietta, GA",2021-03-01 00:00:00,352000,0.05,189,0.05,0.9,3.0825
"Marietta, GA",2021-04-01 00:00:00,345000,-0.02,202,0.069,0.9,3.06
"Marietta, GA",2021-05-01 00:00:00,375000,0.087,217,0.07400000000000001,1.0,2.9625
"Marietta, GA",2021-06-01 00:00:00,384000,0.023,247,0.138,1.1,2.975
"Marietta, GA",2021-07-01 00:00:00,382000,-0.003,232,-0.061,1.1,2.868
"Marietta, GA",2021-08-01 00:00:00,368000,-0.039,220,-0.052000000000000005,1.0,2.8425
