Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Inventory,Inventory MoM,Supply,Mortgage Interested Rate 30,Job Opening in Construction,CPI
"Lakeville, MN",2022-08-01 00:00:00,484000,0.064,274,-0.039,1.8,5.2225,345,8.214989378576
"Lakeville, MN",2022-09-01 00:00:00,492000,0.016,291,0.062,2.2,6.112,466,8.18910841290281
"Lakeville, MN",2022-10-01 00:00:00,455000,-0.075,262,-0.1,2.6,6.9,398,7.74669157814687
"Lakeville, MN",2022-11-01 00:00:00,460000,0.01,244,-0.069,2.9,6.805,348,7.12834438533917
"Lakeville, MN",2022-12-01 00:00:00,495000,0.077,194,-0.205,2.5,6.364,488,6.51667354017639
"Lakeville, MN",2023-01-01 00:00:00,520000,0.051,178,-0.0819999999999999,3.2,6.2725,283,6.33166705649165
"Lakeville, MN",2023-02-01 00:00:00,478000,-0.0819999999999999,180,0.011,2.8,6.2575,404,5.90444999990735
"Lakeville, MN",2023-03-01 00:00:00,490000,0.026,207,0.15,2.4,6.544,315,4.85345472001022
"Lakeville, MN",2023-04-01 00:00:00,432000,-0.1169999999999999,220,0.063,2.6,6.3425,347,4.87205972318956
"Lakeville, MN",2023-05-01 00:00:00,451000,0.043,222,0.009,2.2,6.425,379,3.99367758171464
"Lakeville, MN",2023-06-01 00:00:00,487000,0.08,236,0.063,2.0,6.714,386,2.9715878318128
"Lakeville, MN",2023-07-01 00:00:00,475000,-0.025,244,0.034,2.1,6.84,353,3.16070891227286
"Lakeville, MN",2023-08-01 00:00:00,518000,0.091,260,0.066,2.1,7.072,350,3.69658307187291
