DATE,USACPALTT01CTGYM
2018-01-01,2.04218766562651
2018-02-01,2.17511660824798
2018-03-01,2.32136146361879
2018-04-01,2.40673736606446
2018-05-01,2.72565662360854
2018-06-01,2.80061321777916
2018-07-01,2.88980397925003
2018-08-01,2.65138330242869
2018-09-01,2.24098277368582
2018-10-01,2.48609069597009
2018-11-01,2.17253831552201
2018-12-01,1.94929185547705
2019-01-01,1.59390424582153
2019-02-01,1.57642209194507
2019-03-01,1.93369675764077
2019-04-01,2.09933124203267
2019-05-01,1.91633488150887
2019-06-01,1.76436525632301
2019-07-01,1.91784320861728
2019-08-01,1.83784204880436
2019-09-01,1.78148639618812
2019-10-01,1.83537193426659
2019-11-01,2.08984170296823
2019-12-01,2.27759167377546
2020-01-01,2.49163284654151
2020-02-01,2.3402930879404
2020-03-01,1.53077983402619
2020-04-01,0.285957806033672
2020-05-01,0.0512805772250565
2020-06-01,0.581270975904749
2020-07-01,0.933335907356692
2020-08-01,1.2645065613625
2020-09-01,1.33200377255831
2020-10-01,1.13098154857115
2020-11-01,1.12215505546534
2020-12-01,1.3230121039743
2021-01-01,1.36591488479871
2021-02-01,1.63014395317607
2021-03-01,2.55488711871961
2021-04-01,4.09116867895537
2021-05-01,4.92631222194243
2021-06-01,5.30807697794924
2021-07-01,5.26308885291013
2021-08-01,5.17385680611682
2021-09-01,5.33181296198849
2021-10-01,6.16898055300028
2021-11-01,6.75629080323472
2021-12-01,6.985817076328
2022-01-01,7.43108932815226
2022-02-01,7.83141852225068
2022-03-01,8.45952431506985
2022-04-01,8.19661145805967
2022-05-01,8.51989574657224
2022-06-01,8.96837147989759
2022-07-01,8.46172172057939
2022-08-01,8.214989378576
2022-09-01,8.18910841290281
2022-10-01,7.74669157814687
2022-11-01,7.12834438533917
2022-12-01,6.51667354017639
2023-01-01,6.33166705649165
2023-02-01,5.90444999990735
2023-03-01,4.85345472001022
2023-04-01,4.87205972318956
2023-05-01,3.99367758171464
2023-06-01,2.9715878318128
2023-07-01,3.16070891227286
2023-08-01,3.69658307187291
