Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Inventory,Inventory MoM,Supply,Mortgage Interested Rate 30,Job Opening in Construction,CPI
"St. Charles, MO",2022-08-01 00:00:00,288000,-0.078,86,-0.085,0.7,5.2225,345,8.214989378576
"St. Charles, MO",2022-09-01 00:00:00,296000,0.0279999999999999,95,0.105,0.8,6.112,466,8.18910841290281
"St. Charles, MO",2022-10-01 00:00:00,325000,0.1,114,0.2,1.1,6.9,398,7.74669157814687
"St. Charles, MO",2022-11-01 00:00:00,300000,-0.077,115,0.009,1.4,6.805,348,7.12834438533917
"St. Charles, MO",2022-12-01 00:00:00,299000,-0.003,92,-0.2,1.2,6.364,488,6.51667354017639
"St. Charles, MO",2023-01-01 00:00:00,299000,-0.001,77,-0.163,1.4,6.2725,283,6.33166705649165
"St. Charles, MO",2023-02-01 00:00:00,323000,0.081,70,-0.091,0.9,6.2575,404,5.90444999990735
"St. Charles, MO",2023-03-01 00:00:00,327000,0.013,82,0.171,0.8,6.544,315,4.85345472001022
"St. Charles, MO",2023-04-01 00:00:00,330000,0.009,69,-0.159,0.8,6.3425,347,4.87205972318956
"St. Charles, MO",2023-05-01 00:00:00,338000,0.023,79,0.145,0.8,6.425,379,3.99367758171464
"St. Charles, MO",2023-06-01 00:00:00,335000,-0.0069999999999999,111,0.405,0.9,6.714,386,2.9715878318128
"St. Charles, MO",2023-07-01 00:00:00,327000,-0.025,109,-0.018,0.9,6.84,353,3.16070891227286
"St. Charles, MO",2023-08-01 00:00:00,340000,0.0409999999999999,108,-0.009,0.8,7.072,350,3.69658307187291
