Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Inventory,Inventory MoM,Supply,Mortgage Interested Rate 30,Job Opening in Construction,CPI
"Marietta, GA",2022-09-01 00:00:00,435000,0.048,301,0.031,2.0,6.112,466,8.18910841290281
"Marietta, GA",2022-10-01 00:00:00,385000,-0.115,312,0.037,2.9,6.9,398,7.74669157814687
"Marietta, GA",2022-11-01 00:00:00,420000,0.091,292,-0.064,3.1,6.805,348,7.12834438533917
"Marietta, GA",2022-12-01 00:00:00,400000,-0.048,240,-0.178,2.3,6.364,488,6.51667354017639
"Marietta, GA",2023-01-01 00:00:00,395000,-0.013,236,-0.017,3.1,6.2725,283,6.33166705649165
"Marietta, GA",2023-02-01 00:00:00,385000,-0.025,193,-0.182,1.9,6.2575,404,5.90444999990735
"Marietta, GA",2023-03-01 00:00:00,415000,0.079,177,-0.083,1.3,6.544,315,4.85345472001022
"Marietta, GA",2023-04-01 00:00:00,425000,0.023,181,0.023,1.4,6.3425,347,4.87205972318956
"Marietta, GA",2023-05-01 00:00:00,424000,-0.003,206,0.138,1.3,6.425,379,3.99367758171464
"Marietta, GA",2023-06-01 00:00:00,442000,0.045,242,0.175,1.8,6.714,386,2.9715878318128
"Marietta, GA",2023-07-01 00:00:00,470000,0.062,247,0.021,1.9,6.84,353,3.16070891227286
"Marietta, GA",2023-08-01 00:00:00,451000,-0.04,212,-0.142,1.5,7.072,350,3.69658307187291
