Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Inventory,Inventory MoM,Supply,Mortgage Interested Rate 30,Job Opening in Construction,CPI
"Atlanta, GA",2020-07-01 00:00:00,350000,0.044,4453,0.012,3.8,3.016,298,0.933335907356692
"Atlanta, GA",2020-08-01 00:00:00,341000,-0.025,4527,0.017,3.8,2.935,248,1.2645065613625
"Atlanta, GA",2020-09-01 00:00:00,350000,0.026,4511,-0.004,4.1,2.89,237,1.33200377255831
"Atlanta, GA",2020-10-01 00:00:00,355000,0.0139999999999999,4547,0.008,4.1,2.834,246,1.13098154857115
"Atlanta, GA",2020-11-01 00:00:00,350000,-0.0139999999999999,4131,-0.091,4.4,2.765,262,1.12215505546534
"Atlanta, GA",2020-12-01 00:00:00,351000,0.003,3494,-0.154,3.1,2.684,258,1.3230121039743
"Atlanta, GA",2021-01-01 00:00:00,329000,-0.063,3227,-0.076,4.0,2.735,301,1.36591488479871
"Atlanta, GA",2021-02-01 00:00:00,345000,0.049,3060,-0.052,3.4,2.81,264,1.63014395317607
"Atlanta, GA",2021-03-01 00:00:00,340000,-0.0139999999999999,2925,-0.044,2.2,3.0825,329,2.55488711871961
"Atlanta, GA",2021-04-01 00:00:00,368000,0.0819999999999999,2952,0.009,2.3,3.06,309,4.09116867895537
"Atlanta, GA",2021-05-01 00:00:00,394000,0.071,2844,-0.037,2.2,2.9625,299,4.92631222194243
"Atlanta, GA",2021-06-01 00:00:00,411000,0.0409999999999999,2913,0.024,2.1,2.975,324,5.30807697794924
"Atlanta, GA",2021-07-01 00:00:00,379000,-0.076,3118,0.07,2.5,2.868,356,5.26308885291013
"Atlanta, GA",2021-08-01 00:00:00,362000,-0.046,3090,-0.009,2.8,2.8425,382,5.17385680611682
"Atlanta, GA",2021-09-01 00:00:00,355000,-0.019,3114,0.008,2.9,2.9,365,5.33181296198849
"Atlanta, GA",2021-10-01 00:00:00,393000,0.107,3076,-0.012,2.9,3.0675,405,6.16898055300028
"Atlanta, GA",2021-11-01 00:00:00,385000,-0.02,2641,-0.141,2.6,3.0675,406,6.75629080323472
"Atlanta, GA",2021-12-01 00:00:00,385000,-0.001,2228,-0.156,2.1,3.098,434,6.985817076328
"Atlanta, GA",2022-01-01 00:00:00,380000,-0.0139999999999999,1892,-0.151,2.6,3.445,396,7.43108932815226
"Atlanta, GA",2022-02-01 00:00:00,390000,0.027,1867,-0.013,2.0,3.7625,421,7.83141852225068
"Atlanta, GA",2022-03-01 00:00:00,395000,0.013,1950,0.044,1.6,4.172,413,8.45952431506985
"Atlanta, GA",2022-04-01 00:00:00,427000,0.081,2090,0.072,1.9,4.9825,418,8.19661145805967
"Atlanta, GA",2022-05-01 00:00:00,458000,0.072,2281,0.091,2.2,5.23,392,8.51989574657224
"Atlanta, GA",2022-06-01 00:00:00,415000,-0.094,2774,0.216,2.8,5.522,383,8.96837147989759
"Atlanta, GA",2022-07-01 00:00:00,400000,-0.036,3088,0.113,3.8,5.4125,353,8.46172172057939
"Atlanta, GA",2022-08-01 00:00:00,400000,0.0,3257,0.055,3.8,5.2225,345,8.214989378576
"Atlanta, GA",2022-09-01 00:00:00,400000,0.0,3358,0.031,4.3,6.112,466,8.18910841290281
"Atlanta, GA",2022-10-01 00:00:00,435000,0.087,3345,-0.004,5.1,6.9,398,7.74669157814687
"Atlanta, GA",2022-11-01 00:00:00,400000,-0.0819999999999999,3297,-0.0139999999999999,5.9,6.805,348,7.12834438533917
"Atlanta, GA",2022-12-01 00:00:00,386000,-0.035,2824,-0.143,5.2,6.364,488,6.51667354017639
"Atlanta, GA",2023-01-01 00:00:00,366000,-0.051,2847,0.008,6.6,6.2725,283,6.33166705649165
"Atlanta, GA",2023-02-01 00:00:00,393000,0.072,2758,-0.031,5.0,6.2575,404,5.90444999990735
"Atlanta, GA",2023-03-01 00:00:00,391000,-0.004,2823,0.024,3.6,6.544,315,4.85345472001022
"Atlanta, GA",2023-04-01 00:00:00,399000,0.019,2788,-0.012,3.8,6.3425,347,4.87205972318956
"Atlanta, GA",2023-05-01 00:00:00,450000,0.129,2751,-0.013,3.3,6.425,379,3.99367758171464
"Atlanta, GA",2023-06-01 00:00:00,438000,-0.027,2734,-0.006,3.3,6.714,386,2.9715878318128
"Atlanta, GA",2023-07-01 00:00:00,385000,-0.121,2673,-0.022,3.6,6.84,353,3.16070891227286
"Atlanta, GA",2023-08-01 00:00:00,417000,0.0819999999999999,2513,-0.06,3.4,7.072,350,3.69658307187291
